utterance,p1_mean,n_obs,entropy,ambiguity
*green,0.8926589979221559,1,0.340919692856719,0.21468200415568828
*grins* Nice. :^),0.9313253114100818,1,0.2501972081294079,0.13734937717983642
*had,0.8933544441070576,1,0.33944407440129415,0.2132911117858849
*high five,0.8933544441070576,1,0.33944407440129415,0.2132911117858849
*high five*,0.8917458945548832,1,0.34284948299109075,0.21650821089023364
*niiiiiiice,0.8917458945548832,1,0.34284948299109075,0.21650821089023364
*not neon green*,0.9339606380318449,1,0.24327136233516317,0.13207872393631015
*prob,0.8927259052326206,1,0.3407779468329532,0.21454818953475874
*purest green,0.93828734800727,1,0.23165416995477672,0.12342530398546003
*purple,0.8917458945548832,2,0.34284948299109075,0.21650821089023364
*red,0.8925501693309703,2,0.3411501511355971,0.21489966133805938
*rich,0.8927259052326206,1,0.3407779468329532,0.21454818953475874
*snerks*,0.8926589979221559,1,0.340919692856719,0.21468200415568828
*turq,0.8933544441070576,1,0.33944407440129415,0.2132911117858849
*what,0.892031182330013,1,0.34224747480254036,0.215937635339974
.. lol,0.9019342299509636,1,0.3208121308078351,0.19613154009807277
... not pink but the darker purple,0.8956278882896522,1,0.33458463424372514,0.20874422342069554
....booo,0.8933544441070576,1,0.33944407440129415,0.2132911117858849
....grey?,0.921822524882109,1,0.2742954100511876,0.15635495023578194
....oh lovely,0.7429421817046221,1,0.5699569362421784,0.5141156365907558
....the closest color to tan?,0.9120194006190826,1,0.2978406014860031,0.1759611987618348
...I swear I can spell...,0.7688364789978663,1,0.5406784193882088,0.46232704200426733
...boom...goes the dynamite,0.8326716797847923,1,0.45162452480970283,0.33465664043041543
"...crap, sorry about that",0.8438107148476186,1,0.43329646985317327,0.3123785703047628
...green,0.9394928223486291,1,0.22836076530773625,0.12101435530274185
...lol,0.9036722961186756,1,0.3169383624986354,0.19265540776264878
...lovely.,0.5173088954413667,1,0.6925478651012347,0.9653822091172666
...or for me i should say,0.8626651396202296,1,0.40009582820782813,0.27466972075954077
...these descriptions are getting awesome.,0.8464828730498142,1,0.42876169790279844,0.30703425390037165
...you traitor! ;),0.9095765621802828,1,0.3035164105456948,0.18084687563943436
..Fuschia? Purple? Whatever,0.7758083522019694,1,0.5321622257049285,0.44838329559606116
/purp,0.8927259052326206,1,0.3407779468329532,0.21454818953475874
1 cent for every one right,0.7773332780028639,1,0.5302624806162199,0.4453334439942722
10 more to go!,0.8712397270132002,1,0.38402322336824846,0.25752054597359963
10 more to go!!!!!!!,0.8730627213790797,1,0.38052284996769853,0.2538745572418406
10 more!,0.8306093619151983,1,0.4549186750973323,0.3387812761696034
10 to go,0.8680839235550166,2,0.39001292536742466,0.26383215288996675
15 buck,0.6662921954751819,1,0.6367734164899024,0.6674156090496361
15 is pretty good,0.8545133722756437,1,0.4147996327471873,0.29097325544871255
"2 are similar, is it 1 of them?",0.8549539665862009,1,0.41401880204838004,0.29009206682759814
2 are very similar,0.8653933415968822,1,0.3950508831837016,0.2692133168062356
2 blues,0.8547009126836465,1,0.4144674607063208,0.2905981746327071
2 for 2 man! We're on a roll now!,0.8655551896663647,1,0.3947495994117336,0.2688896206672706
2 grays,0.7795718657813565,1,0.5274493026759286,0.440856268437287
2 in a row again!,0.8386651146256051,1,0.44187680950487807,0.3226697707487898
2 like grey ones lol,0.8905144861903681,1,0.3454383257756552,0.2189710276192638
2 more,0.8644877046561041,1,0.396732603275696,0.2710245906877917
2 more!,0.8699323319772637,2,0.386515320169287,0.26013533604547256
2 nd dull green ..... little brighter than the dullest one,0.8986766150019224,1,0.3279810556218298,0.20264676999615516
2 of them are almost the same.  It is the less green of those two,0.884847980303116,1,0.357153124730228,0.2303040393937681
2 of these colors are similar...pick the one of those two that iss the brightest,0.8658757710614562,1,0.3941521652985319,0.2682484578770876
"2 pinks, 1 purple, its duller pink",0.8746286859731148,1,0.3774920752423285,0.25074262805377034
2nd Brightest green,0.9087391938021904,1,0.30544520418992316,0.18252161239561926
2nd brightest blue,0.9159548571564677,1,0.28853951985952303,0.16809028568706452
2nd brightest green,0.894811069829245,1,0.33633687608664353,0.21037786034151007
2nd brightest is my guess,0.8971659188751443,1,0.33126583319516867,0.2056681622497114
2nd brightest purple,0.8941418575765823,1,0.33776718759805263,0.21171628484683547
2nd color hit,0.8315865306226777,1,0.45336162515664324,0.33682693875464453
2nd dullest green,0.9188329471478702,1,0.281610507822516,0.16233410570425955
2nd lightest,0.782423740802585,1,0.5238231518941802,0.43515251839482993
2nd lightest green,0.8672799941354058,1,0.3915248097584599,0.2654400117291884
2nd most bright,0.8972078601958107,1,0.3311749735598582,0.20558427960837866
2nd most vibrant,0.8838417412408894,1,0.3592000538389644,0.23231651751822113
2nd quality green light,0.8841739626338506,1,0.3585253308669791,0.23165207473229876
3 being darkest,0.8138999762746739,1,0.4805182831029633,0.37220004745065216
3 in a row!,0.8134229730514212,1,0.48122137612854665,0.3731540538971576
3 shades of green middle of the road in brightness,0.8352968926344441,1,0.447387058170866,0.32940621473111187
"3rd time for me, but first time as listener!",0.8292851167262784,1,0.4570179424723109,0.3414297665474433
5 dolar to chat with other,0.8806239375039396,1,0.36567999333550283,0.23875212499212073
50 shades of,0.7981123859872904,1,0.5030081036929837,0.4037752280254192
50 shades of something.,0.7526759080392874,1,0.5593762188364299,0.4946481839214252
"50% blue 50% purple . not hot pink , not tan",0.9222548628725964,1,0.27322737272737935,0.15549027425480721
50% red 50% blue,0.9582877784746501,1,0.17334801776846107,0.08342444305069985
6 more!,0.7671924522830954,1,0.5426465420529717,0.4656150954338092
80s,0.8917458945548832,1,0.34284948299109075,0.21650821089023364
9 to go,0.889674069522155,1,0.347196231085494,0.22065186095569
:)  grass green,0.928139232949024,1,0.2584257949092065,0.143721534101952
:)  rust color,0.8438251210207572,1,0.4332721678749179,0.3123497579584855
":) (he,he)  gray",0.7940340187073183,1,0.5085626181554449,0.41193196258536346
:) Trying! This one is tricky.,0.8373262510758911,1,0.4440770880944944,0.3253474978482178
:) got it,0.9224136744387469,1,0.27283439449853775,0.15517265112250622
:-)  grey,0.9068935126414983,1,0.3096667862043301,0.18621297471700338
:-) np  this is hard one,0.8811378238858821,1,0.3646518098870492,0.23772435222823574
:D,0.8674286926116098,8,0.39124558876978843,0.26514261477678036
:D nice,0.8973415442065039,1,0.33088523970663997,0.20531691158699217
:P,0.8751812301539468,1,0.3764173534526288,0.24963753969210645
;) ty u too,0.7864943066066437,1,0.5185645627997166,0.4270113867867127
;ighter blue,0.9543378978155602,1,0.18553881456367774,0.09132420436887956
;p yup always the computers fault,0.8392315830896727,1,0.4409418960675105,0.32153683382065457
=D,0.6686114126943532,1,0.6351576551745124,0.6627771746112936
"?? Okay, not green. The purple that's a little duller.",0.8928477209589205,1,0.34051975491457076,0.21430455808215898
A box should show around the right color once you choose,0.8357977357536195,1,0.446572955489041,0.328404528492761
A brighter green,0.913181970892831,1,0.2951134228763069,0.17363605821433792
A combination of yellow and green.,0.8801181481167811,1,0.36668952328854737,0.23976370376643774
A dark purple color,0.8822164037117198,1,0.362485577121072,0.23556719257656034
A darker or brighter shade of purple?,0.8732935438047158,1,0.3800775112819426,0.2534129123905684
A dull lime green,0.9084054914454962,1,0.3062114939325645,0.1831890171090076
A light blue,0.9042698605488914,1,0.315598533681122,0.19146027890221728
A light color purple,0.884754795956803,1,0.35734310017217763,0.2304904080863941
"A light purple, sandy green, and a lightish gray purple",0.8724054525658494,1,0.38178832464588464,0.2551890948683011
A little more faded,0.8826542850353005,1,0.3616029407675404,0.23469142992939895
A little more please,0.8674363583703592,1,0.39123118905615006,0.2651272832592817
"A little more purple, or a little more gray?",0.8872143300106823,1,0.3523001090691999,0.22557133997863543
A middle shade pink. Not the brightest but not the one with brown undertones,0.8787965081405101,1,0.3693160265358679,0.24240698371897973
A stormy sky,0.8887454945915583,1,0.3491301718461549,0.22250901081688346
AHAHA Ok... grey with a white tint?,0.8656885371468627,1,0.3945012009965023,0.26862292570627466
AHH!,0.8020042291568016,1,0.4976113874189869,0.39599154168639683
"Ack, sorry",0.8995889338120496,1,0.32598524051124106,0.20082213237590074
Again it's the color that falls between the other two in shade,0.8678068061137354,1,0.39053471345790747,0.2643863877725292
Again with that greenish color,0.8929192795761187,1,0.3403680120683482,0.21416144084776256
"Again, it's the sea foam, not the olive or the yellow green",0.8997962030651773,1,0.3255305304246654,0.20040759386964546
"Again, the brightest.",0.907110919040052,1,0.3091716280323472,0.18577816191989593
"Again, the sky.",0.9112454541739594,1,0.2996467873607786,0.17750909165208117
"Agreed!  I've done a bunch today, they are different and i like that :-)",0.8307656376263752,1,0.45467011739355273,0.33846872474724954
Ah XD,0.8065700918871821,1,0.49115832018168926,0.3868598162256358
Ah boo my bad:P,0.8884855273227295,1,0.34967003983898653,0.2230289453545411
Ah sorry,0.8772502552768455,1,0.37236809839634294,0.24549948944630895
"Ah, I went with the wrong blue. . .",0.8713392151928416,1,0.38383296134093287,0.25732156961431674
Ah... the darker one... doesn't look as blue!,0.855734600611565,1,0.41263149931439946,0.28853079877686993
Aha okay.,0.8204496733798088,1,0.4707109402836241,0.35910065324038243
Ahh sorry,0.8628850235157498,1,0.39969156444988374,0.2742299529685004
Ahhh okay. Just making sure.,0.7715516403091365,1,0.5373946691086418,0.45689671938172705
"Ahhh specificity would be great here, bud!",0.8231293773445957,1,0.4666149377552611,0.35374124531080864
Almost a brown,0.8991259432514073,1,0.32699923899822203,0.20174811349718547
Almost like a light green/gray.,0.8710617036089532,1,0.384363456658816,0.2578765927820936
Almost pink like?,0.8992279252157184,1,0.32677609096561977,0.20154414956856326
Almost the same as the last one,0.8893104341476777,1,0.3479546165145131,0.22137913170464452
Almost the same color as before,0.8612174703468293,1,0.4027472528959227,0.27756505930634146
Almost there.... :)   Pink,0.888002679592328,1,0.35067094956071937,0.22399464081534393
"Alright my friend, see you soon! c:",0.8878473281486993,1,0.35099248341199113,0.22430534370260147
Also could be a lipstick color.,0.8098424629314225,1,0.48645131440125344,0.38031507413715504
An banana it looked like!,0.8481689306416262,1,0.42587215813596657,0.3036621387167475
"An in between color...bluish grey, with more blue",0.8815257825474904,1,0.3638739127032842,0.23694843490501927
And bright.,0.9071863366699592,1,0.308999728155959,0.18562732666008164
And not purple?,0.8975528284451892,1,0.33042692689563824,0.2048943431096215
And thanks,0.8706765357001548,1,0.38509861339552637,0.2586469285996904
Angry sky color or more neutral?,0.8574064499809833,1,0.40964373946428545,0.2851871000380335
Another easy one? We've got like at least 6 in row. Make that 7.,0.8321510427761353,1,0.45245900947689155,0.33569791444772945
Another tough one...,0.8696868899080601,1,0.38698148254410075,0.2606262201838798
Another toughie. The dullest one,0.8905725060522742,1,0.3453166984657412,0.21885498789545155
Any thoughts?,0.7579288650621532,1,0.5534555471499801,0.48414226987569364
Anyone here?,0.7729472938440278,1,0.535690494923581,0.45410541231194435
Anything?,0.4847661790197609,1,0.6926829701217385,0.9695323580395218
Aqua,0.9533555501955031,6,0.18851390726018608,0.09328889960899378
Aqua blue,0.9536143375207744,2,0.1877322792539643,0.0927713249584512
Aqua blue. Bright / Neon,0.9244032429934133,1,0.267881138859276,0.1511935140131735
Aqua the more green one,0.9196566814114417,1,0.27960707521778083,0.1606866371771165
Aqua-ish color,0.8874349499411323,1,0.35184481565112835,0.2251301001177355
Aquamarine,0.8515820758991562,1,0.41995497316042724,0.2968358482016875
Are we allowed to say the colors or no?,0.8621226171731541,1,0.4010915290514689,0.27575476565369184
Are you a hippy with all this earthy stuff..lol,0.8549155855941076,1,0.4140868838534959,0.29016882881178474
Are you a real person?,0.8628755522296633,1,0.39970898613818556,0.27424889554067344
"Are you colorblind, perhaps?",0.7988231035896441,1,0.502029626351718,0.4023537928207117
"Are you not supposed to say 'darkest purple, lightest green' etc...?",0.8734214657324586,1,0.3798304969934678,0.2531570685350828
Are you on the mtg forum?,0.8259483858367687,1,0.4622527558200312,0.3481032283264627
Are you ready to begin?,0.8589097308374506,1,0.4069377140138457,0.2821805383250988
Are you ready?,0.8769528584948334,2,0.3729525617869681,0.2460942830103332
Are you same person who talked about caca and barney from TO,0.8393122674499099,1,0.440808539277849,0.3213754651001801
Are you still there?,0.8659445758808538,1,0.39402382564598104,0.26811084823829234
Are you there?,0.8774971686429837,2,0.37188222430633233,0.24500566271403268
"Arg, I'm tired of speaking :D",0.8663918171207705,1,0.39318860453011983,0.267216365758459
Army,0.912280777007986,1,0.2972289349665178,0.1754384459840279
Army green,0.9270472432695624,1,0.26121069951245535,0.1459055134608751
As in the greyish blue not turquoise looking one?,0.9014202366317945,1,0.32195114110406986,0.19715952673641102
As in the lighter green not the olive green one?,0.8997878992401339,1,0.32554875662450367,0.20042420151973217
At least we got stormy sky down lol,0.8856541266579853,1,0.35550606564112985,0.22869174668402947
At this point you could just say T and I'd get it,0.864209470891347,1,0.39724786100873416,0.27158105821730594
Avocados,0.892031182330013,1,0.34224747480254036,0.215937635339974
Aw. Sorry. :(,0.8329825319955638,1,0.45112535906574636,0.33403493600887235
Awesome!,0.8754137313111852,1,0.37596429404989196,0.24917253737762968
Awesome!  Okay now pick the griege one.,0.854920879347145,1,0.4140774942796238,0.29015824130571
Awesome! Now pick the coral/rose,0.8465290645475281,1,0.4286828279725204,0.30694187090494385
Awesome. :^),0.876779173776887,1,0.37329351899575586,0.24644165244622607
"Awesome. Hey fellow Turker, it's been really great doing this with you. Thanks. :^)",0.8749801047670944,1,0.37680887378268363,0.25003979046581115
Awwwh thanks! You are very good at describing,0.8727260028314558,1,0.38117163801736964,0.2545479943370883
B,0.875338611561342,1,0.3761107290264999,0.24932277687731608
B for bright,0.8950833660192915,1,0.33575353538472313,0.209833267961417
BAM,0.8732650414345716,1,0.3801325285496599,0.25346991713085676
BAMMM!,0.8933544441070576,1,0.33944407440129415,0.2132911117858849
BLUE,0.953563399198574,3,0.18788625018105365,0.09287320160285195
"BLUE GREEN, GRAY, BLUISH",0.9304820437520189,1,0.2523902609970013,0.13903591249596214
BLue,0.9543317056913962,4,0.18555763662773306,0.0913365886172075
BRIGHT,0.9319860211502295,2,0.24847116438556183,0.1360279576995409
BRIGHT green,0.9367476817343856,1,0.23582416259538513,0.1265046365312288
BRIGHT sea foam,0.873819489378374,1,0.3790609751965791,0.2523610212432521
Baby boy clothing is usually blue and girl's are...,0.8843385837893724,1,0.3581905953932604,0.2313228324212553
Baby boy's color,0.8800188505323638,1,0.36688743122083817,0.23996229893527232
Back on track.,0.6886902435675567,1,0.6201446189644357,0.6226195128648866
Back on track. Got that one. This one is going to be tough.,0.8675053667211671,1,0.3911015375876803,0.26498926655766586
"Bah, sorry.",0.9027670764809975,1,0.31896019392257996,0.19446584703800496
Bam.,0.8725400321126009,1,0.3815295279983827,0.2549199357747982
Banana,0.6339959775877234,4,0.6567946517853112,0.7320080448245532
Barbie pink NOT purple,0.867719985063623,1,0.3906980521857952,0.26456002987275395
Barney,0.8244287568981237,1,0.4646110787541968,0.35114248620375266
Barney Purple,0.8804346203074853,1,0.36605814533931347,0.23913075938502937
Barney purple,0.8772206601089888,1,0.37242629750728345,0.2455586797820224
Barny the dino color,0.8322778820307564,1,0.45225588863845506,0.33544423593848727
Barny the dinosaurer color,0.8924435071364917,1,0.34137590196380524,0.21511298572701665
Barnys color,0.8874349499411323,1,0.35184481565112835,0.2251301001177355
Be bustin' out the ruby red lipstick crayon,0.839641796322833,1,0.44026338574071405,0.32071640735433404
Been a pleasure.  Grey,0.860654846653738,1,0.40377296534235707,0.2786903066925239
Been fun man we knocked this out quickly!,0.8593272907576859,1,0.40618277060631747,0.28134541848462824
Been good working with you!,0.8746029367913111,1,0.377542090509359,0.25079412641737786
Beige,0.9144241404200166,1,0.29218067438514306,0.17115171915996674
Beige.,0.9144241404200166,1,0.29218067438514306,0.17115171915996674
Beige/pink,0.8917458945548832,1,0.34284948299109075,0.21650821089023364
Beige/tan,0.8927259052326206,1,0.3407779468329532,0.21454818953475874
Being the listener is easier,0.815806050287448,1,0.4776937446432058,0.36838789942510397
"Between purple and pink, on the brighter side.",0.8689624836303478,1,0.3883542340471281,0.26207503273930444
Bfight green,0.9394928223486291,1,0.22836076530773625,0.12101435530274185
Biege-tan. The most beigey looking one?,0.8991519706928478,1,0.3269422989250234,0.2016960586143044
Bingo! Now pick the blue/green square,0.8408608292740519,1,0.43823966731933695,0.31827834145189615
Birght one,0.7736184261774289,1,0.5348670544229971,0.45276314764514214
Blah sorry,0.8355474896735536,1,0.4469799497867848,0.32890502065289273
Blood,0.8455592526862747,2,0.4303352975182184,0.3088814946274505
Blood!,0.9405995885701588,1,0.2253145362736061,0.11880082285968241
Blu,0.9703811736554963,1,0.13341466417411338,0.05923765268900749
Blu'ish Gray,0.9405581212398745,1,0.22542906262767445,0.11888375752025104
Blue,0.9542118960476871,121,0.18592164632080965,0.09157620790462584
Blue (not purple) and more intense,0.8990639492942238,1,0.3271348327173134,0.20187210141155232
Blue (not the light one),0.9076507560530193,1,0.30793968348030504,0.18469848789396148
Blue - like the ocean,0.9033377956992993,1,0.3176865701841042,0.19332440860140143
Blue Gray,0.9406287770715915,1,0.22523390369140112,0.11874244585681692
Blue again,0.934622137332634,2,0.24151537105293858,0.130755725334732
Blue blue,0.9547382722563117,2,0.1843199323025795,0.09052345548737661
Blue gray,0.9402426337089047,1,0.2262993847154077,0.11951473258219059
Blue green,0.9470149726901466,3,0.20721239770998562,0.10597005461970688
Blue grey,0.9400769059685947,3,0.22675586055748725,0.11984618806281055
Blue grey or regular grey,0.9115307860645295,1,0.2989817633707416,0.17693842787094094
Blue grey. Not as aqua as the other blue.,0.9156230771096229,1,0.2893312998857307,0.16875384578075425
Blue image in the middle,0.8754790801684911,1,0.3758368639188922,0.24904183966301785
Blue image on the right,0.8810861323016146,1,0.3647553482684195,0.23782773539677082
Blue is the color you should click on,0.8983716309327813,1,0.32864620538778067,0.20325673813443745
Blue not grayish or purpleish,0.9053951776324153,1,0.3130641875756493,0.18920964473516944
Blue one,0.9357680306243145,2,0.2384565387935237,0.12846393875137108
Blue or purple?,0.9266315625162731,1,0.26226616476307796,0.1467368749674538
Blue pale,0.9078562196132999,1,0.3074698892861416,0.18428756077340025
Blue teal,0.9419535419633025,1,0.22155810064233772,0.116092916073395
Blue with a hint of gray and purple,0.9016335559259943,1,0.3214787867791329,0.1967328881480115
Blue with green,0.9273914189018503,1,0.2603348617786374,0.14521716219629943
Blue with green tint,0.91300331905455,1,0.29553361108105775,0.17399336189089998
Blue'ish Gray,0.9316064041323712,2,0.24946371685705487,0.13678719173525766
"Blue, a bit less intense - and not the palest color",0.8777941550617148,1,0.37129706545183305,0.24441168987657047
"Blue, brightest blue",0.9439959240131454,1,0.2158279970461128,0.11200815197370928
"Blue, but not the brighter one",0.9158808383053842,1,0.2887162866747238,0.1682383233892315
"Blue, kind of bright, not the greenish one",0.9076807557946768,1,0.307871120237021,0.18463848841064645
"Blue, lol jk.  It's the most aqua bright blue.",0.9247860130399818,1,0.2669217341779987,0.15042797392003648
"Blue, not green or gray",0.9241054579441969,1,0.26862608000314453,0.1517890841116063
"Blue, not pink or purple",0.9228269688325778,1,0.2718100464987715,0.1543460623348445
"Blue, purple, and grey",0.9210042235618313,1,0.2763098320042,0.15799155287633737
Blue-green,0.9181897746108578,2,0.283168460308208,0.16362045077828435
Blue-ish purple,0.8539460504180975,1,0.41580275351890505,0.2921078991638051
Blue-purple,0.584568619963561,1,0.6787744863839107,0.830862760072878
Blue.,0.9545453332396698,4,0.18490776848578955,0.09090933352066033
"Blue.  I see gray, purple and BLUE",0.9155689481473949,1,0.28946034119932096,0.16886210370521026
Blue/ light blue,0.8519517934346541,1,0.41930851192341045,0.2960964131306918
Blue/Cyan,0.8933544441070576,1,0.33944407440129415,0.2132911117858849
Blue/Purple,0.8836560218311225,1,0.35957677087664874,0.23268795633775508
Blue/green,0.855912760014125,1,0.41231419252921714,0.28817447997175005
Blue/grey,0.9219243819057834,2,0.2740440189588993,0.15615123618843318
Blue/purple,0.8567398068434419,2,0.4108378246624297,0.28652038631311627
Blue/teal,0.7382603478585756,1,0.5748686850634306,0.5234793042828487
Blue? Cyan?,0.8731463671332113,1,0.3803615230913705,0.2537072657335775
Blueberries or strawberries?,0.8956782616904087,1,0.3344763398953624,0.2086434766191827
Bluei,0.892031182330013,1,0.34224747480254036,0.215937635339974
Blueish,0.9010873098593485,1,0.32268732015283574,0.19782538028130303
Blueish Gray image in the middle,0.8656223947831414,1,0.3946244294681303,0.2687552104337172
Blueish gray,0.9197410724311306,1,0.2794013077382459,0.16051785513773886
Blueish one,0.8980559989804187,1,0.32933350474247,0.20388800203916269
Blueish purple,0.9137722871143732,2,0.2937221352174319,0.1724554257712536
Bluer,0.9545060287373295,2,0.18502741401762365,0.09098794252534104
Bluest,0.9263227526088001,1,0.2630486254481886,0.1473544947823997
Bluest of the 3 as apposed to gray or green,0.8954842048617825,1,0.3348933803727506,0.20903159027643503
Bluest of the three?,0.8947514058300748,1,0.33646458912277377,0.21049718833985032
Bluest one,0.9160306191396077,1,0.28835851650976707,0.1679387617207846
Bluish,0.8890724921727843,1,0.34845013280727716,0.22185501565443144
Bluish Gray,0.9012432591138989,3,0.3223426348920696,0.19751348177220218
Bluish gray,0.9012432591138989,1,0.3223426348920696,0.19751348177220218
"Bluish gray, not teal or brown",0.9098344153193754,1,0.3029207583019392,0.18033116936124927
Bluish purple,0.9033668991846302,2,0.31762152270812394,0.1932662016307396
Bluish purple not bright purple,0.9159696772974302,1,0.2885041188513572,0.16806064540513965
Blunder years lipstick again...,0.8781958653495802,1,0.3705042582990697,0.24360826930083967
Boo!,0.6566431390470279,1,0.643236995998844,0.6867137219059443
Both?,0.7018267031919042,1,0.6093085862291087,0.5963465936161916
Boy color,0.8688284247627813,1,0.3886077699029979,0.26234315047443735
Bravo! Now we want the blue square,0.8799969922975549,1,0.3669309838669552,0.2400060154048902
Breakfast juice,0.6276134865487071,1,0.660213617299218,0.7447730269025858
Brighest blue,0.9235598058076863,1,0.269987809427883,0.15288038838462747
Brighest pink,0.9082551581391948,1,0.3065562708310071,0.18348968372161045
Bright,0.932938565078056,4,0.245970592839112,0.1341228698438881
Bright  green,0.9367476817343856,1,0.23582416259538513,0.1265046365312288
Bright Blue,0.9446633501059644,2,0.2139384915230397,0.11067329978807128
Bright Blue one.,0.9340438850425334,1,0.24305076954046878,0.13191222991493312
Bright Blue/Violet,0.9337248106265291,1,0.24389566202051696,0.13255037874694175
Bright Green,0.9352314385798091,2,0.23989160828081965,0.12953712284038188
Bright Green in the middle,0.8849775589248426,1,0.35688881041821086,0.2300448821503147
Bright Green on the left,0.86704037029632,1,0.39197436320780865,0.26591925940736005
